Gene_acc,Gene_id,Signed_Rank_DM_vs_Plus,FDR_DM_vs_Plus,Signed_Rank_Plus_vs_Minus,FDR_Plus_vs_Minus,Desc
0,Tb05.5K5.110,0.010549145781739938,0.6369,-0.06599214157424403,0.66906,"major vault protein, putative"
1,Tb06.3A7.270,-0.06166255985683524,0.27055,-0.11669871600204591,0.41506000000000004,"hypothetical protein, conserved"
2,Tb06.3A7.960,0.11092332501031674,0.5923,-0.05956337510877462,0.70118,hypothetical protein
3,Tb07.11L3.100,0.1225984193552309,0.5533600000000001,0.11560617340133027,0.13339,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,-0.287338519235636,0.01008,0.027499637660064535,0.58372,hypothetical protein
5,Tb10.v4.0033,0.3775799060389271,0.02022,-0.12571399153085175,0.32055,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,0.09133332701802244,0.75264,-0.070490850578276,0.69265,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,0.11651821976717418,0.76255,0.02378161256586023,0.68445,"PUB domain containing protein, putative"
8,Tb10.v4.0052,-0.2429647469925059,0.0162,-0.02328114227701403,0.87741,microtubule-associated protein 2
9,Tb11.01.2730,0.05154265612671694,0.86336,0.05168855771390638,0.40514,"hypothetical protein, conserved"
10,Tb11.02.5070b,-0.041176447881973034,0.33547,-0.018897334660879492,0.8523,"hypothetical protein, conserved"
11,Tb11.02.5090b,-0.06392890737033148,0.2445,0.0179284652235627,0.65803,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,0.12814579502712795,0.5076,0.040800514936962975,0.46052,"hypothetical protein, conserved"
13,Tb11.02.5360b,-0.05445720284402977,0.27453,0.06938186910909178,0.29011,"hypothetical protein, conserved"
14,Tb11.02.5370b,0.13706785929830426,0.53178,-0.09362537014670826,0.55298,"hypothetical protein, conserved"
15,Tb11.02.5380b,-0.025764149865802603,0.42315,-0.07906824830909617,0.59024,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,0.03726470687876168,0.78713,-0.06558428246596984,0.6681699999999999,"mRNA processing protein, putative"
17,Tb11.02.5400b,-0.08587276299959878,0.17338,-0.09196062680360452,0.48866000000000004,"cystathionine beta-synthase, putative"
18,Tb11.02.5410b,0.07520529707701418,0.78668,-0.06678510720857168,0.65774,"ubiquitin activating enzyme, putative"
19,Tb11.02.5420b,-0.0651886687852375,0.24414,-0.1492367293472971,0.22002,"NADPH-cytochrome p450 reductase, putative"
20,Tb11.02.5430b,0.08233952325081303,0.82916,-0.05477212826264446,0.7858,"hypothetical protein, conserved"
21,Tb11.0320,0.05423346923758111,0.8878,-0.045663414444353026,0.83291,hypothetical protein
22,Tb11.0400,0.5867632920108142,0.00175,0.936497057693842,0.0,"P27 protein, putative"
23,Tb11.0870,0.12225280353296089,0.54028,0.006942001459928481,0.78638,hypothetical protein
24,Tb11.0890,0.23965851642974265,0.1123,-0.11086943810680044,0.39088,"epsin, putative"
25,Tb11.1220,0.1265160103574301,0.5091100000000001,-0.0522327663615411,0.7590899999999999,hypothetical protein
26,Tb11.1390.1-p1,0.18599519819215143,0.24628000000000003,-0.22915614183993976,0.04978,"hypothetical protein, conserved"
27,Tb11.1780.1-p1,-0.03344932385851484,0.36987,0.034800413795387626,0.48796999999999996,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
28,Tb11.1790.1-p1,0.24229129937814678,0.11202000000000001,0.015783121230674872,0.64759,"retrotransposon hot spot protein (RHS, pseudogene), putative"
29,Tb11.1810b.1-p1,-0.3056569257128789,0.02175,-0.05807242105205435,0.9912299999999999,"retrotransposon hot spot protein (RHS, pseudogene), putative"
30,Tb11.v5.0154,0.10890326869207327,0.6523399999999999,-0.05944966002921503,0.77854,"WD domain, G-beta repeat, putative"
31,Tb11.v5.0162,0.08155273655383813,0.76152,-0.04932543308225316,0.7801,proteasome beta 6 subunit
32,Tb11.v5.0191,0.07820425125500718,0.7976300000000001,0.12511773988399083,0.12625999999999998,"ELMO/CED-12 family, putative"
33,Tb11.v5.0194,0.11685305176976574,0.67987,0.13489289627952303,0.27678,"hypothetical protein, conserved"
34,Tb11.v5.0196,0.10575809644651356,0.63243,0.0016833723620083788,0.7499,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
35,Tb11.v5.0325,-0.23347338683767696,0.01933,-0.2732388983884041,0.02279,"retrotransposon hot spot (RHS) protein, putative"
36,Tb11.v5.0326,0.06327637746378782,0.84665,-0.06871361711056362,0.64359,"retrotransposon hot spot (RHS) protein, putative"
37,Tb11.v5.0365,0.3883688696976857,0.02048,-0.06480496081055634,0.79693,"hypothetical protein, conserved"
38,Tb11.v5.0366,0.15098458185261995,0.3874,-0.19040561935101463,0.10452,"hypothetical protein, conserved"
39,Tb11.v5.0412,0.026719931886463065,0.7620100000000001,0.0641489695733035,0.37071,"hypothetical protein, conserved"
40,Tb11.v5.0428,-0.17551232418466134,0.04225,-0.07306166998314896,0.6249600000000001,"hypothetical protein, conserved"
41,Tb11.v5.0468,-0.06139050424755694,0.8508100000000001,0.18184116502267836,0.93342,"alpha tubulin, putative"
42,Tb11.v5.0480,0.06102204674417669,0.91317,-0.01251506472462764,0.9157799999999999,"DNA-directed RNA polymerase, alpha subunit, putative"
43,Tb11.v5.0482,0.12632164032240417,0.72409,0.019900159397487932,0.66948,"hypothetical protein, conserved"
44,Tb11.v5.0487,-0.021652130747303055,0.43593999999999994,-0.010691974375468477,0.80867,"Programmed cell death protein 2, C-terminal putative domain containing protein, putative"
45,Tb11.v5.0489,-0.278520363834366,0.010440000000000001,0.02818165671564365,0.55298,"retrotransposon hot spot (RHS) protein, putative"
46,Tb11.v5.0493,0.22078916187898645,0.27378,-0.03192961576076001,0.9674799999999999,"kinesin K39, putative"
47,Tb11.v5.0501,0.1716864938122859,0.29431,0.05045490944294595,0.39088,"40S ribosomal protein S3A, putative"
48,Tb11.v5.0507,0.027097274694726222,0.76642,-0.013464233533941782,0.86505,"hypothetical protein, conserved"
49,Tb11.v5.0517,0.05208287018617297,0.8683700000000001,0.14986474379931955,0.060570000000000006,"hypothetical protein, conserved"
50,Tb11.v5.0528,0.06988982306347796,0.81211,-0.02949444263418257,0.87623,"hypothetical protein, conserved"
51,Tb11.v5.0537,0.1642116253517631,0.35436,-0.09006125095130858,0.58903,"polyubiquitin, putative"
