Gene_acc,Gene_id,DM1,DM2,DM3,Plus1,Plus2,Plus3,Desc
0,Tb05.5K5.110,3136500.0,3263900.0,3523500.0,3252500.0,3376200.0,3222900.0,"major vault protein, putative"
1,Tb06.3A7.270,419150.0,441490.0,451540.0,446360.0,484670.0,438450.0,"hypothetical protein, conserved"
2,Tb06.3A7.960,405900.0,426350.0,439560.0,387810.0,399010.0,390870.0,hypothetical protein
3,Tb07.11L3.100,130270.0,131470.0,134120.0,123460.0,118070.0,122080.0,SUMO-interacting motif-containing protein
4,Tb09.v4.0015,352310.0,360970.0,381250.0,442570.0,459560.0,433620.0,hypothetical protein
5,Tb10.v4.0033,1334300.0,1405300.0,1439800.0,1073600.0,1070500.0,1072900.0,pumillo RNA binding protein PUF1
6,Tb10.v4.0035,2341800.0,2562800.0,2520600.0,2339500.0,2304300.0,2325900.0,"stress-inducible protein STI1-like, putative"
7,Tb10.v4.0041,1385200.0,1624300.0,1473100.0,1412800.0,1339600.0,1382400.0,"PUB domain containing protein, putative"
8,Tb10.v4.0052,1147500.0,1212900.0,1244400.0,1419900.0,1452000.0,1394100.0,microtubule-associated protein 2
9,Tb11.01.2730,350820.0,378540.0,395840.0,349450.0,384490.0,351770.0,"hypothetical protein, conserved"
10,Tb11.02.5070b,281480.0,289720.0,308170.0,298800.0,302820.0,303210.0,"hypothetical protein, conserved"
11,Tb11.02.5090b,235500.0,272060.0,255430.0,258800.0,282720.0,256040.0,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
12,Tb11.02.5105b,305870.0,322590.0,334910.0,298840.0,293840.0,288810.0,"hypothetical protein, conserved"
13,Tb11.02.5360b,224060.0,252250.0,261180.0,247230.0,260330.0,258300.0,"hypothetical protein, conserved"
14,Tb11.02.5370b,24409.0,23599.0,26158.0,21310.0,22277.0,23857.0,"hypothetical protein, conserved"
15,Tb11.02.5380b,908480.0,994570.0,1011800.0,985800.0,1001800.0,983790.0,"exosome complex exonuclease RRP44p homologue, putative"
16,Tb11.02.5390b,1554800.0,1649700.0,1658400.0,1568500.0,1604400.0,1566000.0,"mRNA processing protein, putative"
